Размер;Линейный_поиск_мс;Бинарное_дерево_мс;Красно_черное_дерево_мс;Хэш_таблица_мс;Ассоциативный_массив_мс;Коллизии
100;0.078000;0.000000;0.001000;0.006000;0.003000;76
500;0.386000;0.001000;0.002000;0.012000;0.004000;475
1000;0.617000;0.002000;0.002000;0.025000;0.005000;975
5000;3.323333;0.003333;0.006667;0.130000;0.013333;4975
10000;6.330000;0.006667;0.010000;0.253333;0.050000;9975
25000;16.640000;0.020000;0.020000;0.620000;0.050000;24975
50000;34.380000;0.030000;0.040000;1.250000;0.090000;49975
75000;48.500000;0.060000;0.040000;1.920000;0.160000;74975
90000;59.280000;0.060000;0.060000;2.420000;0.240000;89975
100000;65.540000;0.060000;0.060000;2.600000;0.220000;99975
